ts,wired,nyt,guardian,popsci,healthday,newsmed,medpage
2021-04-10 07:00:03.041992,105 (+0),433 (+0),430 (+0),261 (+0),426 (+1),539 (+0),294 (+1)
2021-04-10 08:00:05.700524,105 (+0),433 (+0),432 (+2),261 (+0),426 (+0),539 (+0),295 (+1)
2021-04-10 09:00:03.245371,105 (+0),434 (+1),434 (+2),261 (+0),426 (+0),539 (+0),295 (+0)
2021-04-10 10:00:02.870245,105 (+0),435 (+1),434 (+0),261 (+0),426 (+0),539 (+0),295 (+0)
2021-04-10 11:00:02.845453,105 (+0),435 (+0),434 (+0),261 (+0),426 (+0),539 (+0),295 (+0)
2021-04-10 12:00:03.821969,105 (+0),435 (+0),434 (+0),261 (+0),426 (+0),539 (+0),296 (+1)
2021-04-10 13:00:03.395231,105 (+0),435 (+0),434 (+0),261 (+0),426 (+0),539 (+0),297 (+1)
2021-04-10 14:00:03.463885,105 (+0),435 (+0),434 (+0),261 (+0),426 (+0),539 (+0),297 (+0)
2021-04-10 15:00:03.457016,105 (+0),435 (+0),435 (+1),261 (+0),426 (+0),539 (+0),298 (+1)
2021-04-10 16:00:03.616641,105 (+0),435 (+0),435 (+0),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-10 17:00:02.973133,105 (+0),435 (+0),435 (+0),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-10 18:00:03.523851,105 (+0),435 (+0),435 (+0),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-10 19:00:03.607614,105 (+0),435 (+0),435 (+0),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-10 20:00:03.554182,105 (+0),436 (+1),435 (+0),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-10 21:00:03.262675,105 (+0),437 (+1),435 (+0),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-10 22:00:03.158845,105 (+0),437 (+0),435 (+0),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-10 23:00:03.348422,105 (+0),437 (+0),436 (+1),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-11 00:00:04.321063,105 (+0),437 (+0),437 (+1),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-11 01:00:03.413544,105 (+0),437 (+0),439 (+2),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-11 02:00:03.592300,105 (+0),437 (+0),441 (+2),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-11 03:00:03.539752,105 (+0),437 (+0),441 (+0),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-11 04:00:03.484808,105 (+0),437 (+0),441 (+0),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-11 05:00:03.613944,105 (+0),437 (+0),442 (+1),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-11 06:00:03.596983,106 (+1),437 (+0),442 (+0),261 (+0),426 (+0),539 (+0),298 (+0)
2021-04-11 07:00:04.004251,106 (+0),437 (+0),444 (+2),261 (+0),427 (+1),539 (+0),298 (+0)
2021-04-11 08:00:03.150238,106 (+0),437 (+0),444 (+0),261 (+0),427 (+0),539 (+0),299 (+1)
2021-04-11 09:00:03.332086,106 (+0),437 (+0),445 (+1),261 (+0),427 (+0),539 (+0),299 (+0)
2021-04-11 10:00:04.320324,106 (+0),438 (+1),446 (+1),261 (+0),427 (+0),539 (+0),300 (+1)
2021-04-11 11:00:03.649172,106 (+0),438 (+0),446 (+0),261 (+0),427 (+0),539 (+0),300 (+0)
2021-04-11 12:00:03.374305,106 (+0),438 (+0),447 (+1),261 (+0),427 (+0),539 (+0),301 (+1)
2021-04-11 13:00:03.374578,106 (+0),438 (+0),447 (+0),261 (+0),427 (+0),539 (+0),301 (+0)
2021-04-11 14:00:02.974424,106 (+0),439 (+1),447 (+0),261 (+0),427 (+0),539 (+0),302 (+1)
2021-04-11 15:00:03.479256,106 (+0),439 (+0),447 (+0),261 (+0),427 (+0),539 (+0),302 (+0)
2021-04-11 16:00:02.933577,106 (+0),439 (+0),447 (+0),261 (+0),427 (+0),539 (+0),302 (+0)
2021-04-11 17:00:03.176947,106 (+0),439 (+0),447 (+0),261 (+0),427 (+0),539 (+0),302 (+0)
2021-04-11 18:00:03.330054,106 (+0),439 (+0),447 (+0),261 (+0),427 (+0),539 (+0),303 (+1)
2021-04-11 19:00:03.363039,106 (+0),440 (+1),447 (+0),261 (+0),427 (+0),541 (+2),305 (+2)
2021-04-11 20:00:03.652525,106 (+0),440 (+0),447 (+0),261 (+0),427 (+0),543 (+2),308 (+3)
2021-04-11 21:00:03.282961,106 (+0),440 (+0),447 (+0),261 (+0),427 (+0),545 (+2),308 (+0)
2021-04-11 22:00:03.879017,106 (+0),440 (+0),447 (+0),261 (+0),427 (+0),552 (+7),308 (+0)
2021-04-11 23:00:03.498809,106 (+0),440 (+0),450 (+3),261 (+0),427 (+0),557 (+5),308 (+0)
2021-04-12 00:00:03.837610,106 (+0),440 (+0),451 (+1),261 (+0),427 (+0),559 (+2),308 (+0)
2021-04-12 01:00:03.752992,106 (+0),440 (+0),451 (+0),261 (+0),427 (+0),559 (+0),308 (+0)
2021-04-12 02:00:03.291535,106 (+0),440 (+0),452 (+1),261 (+0),427 (+0),559 (+0),308 (+0)
2021-04-12 03:00:03.348227,106 (+0),440 (+0),452 (+0),261 (+0),427 (+0),561 (+2),308 (+0)
2021-04-12 04:00:03.522221,106 (+0),440 (+0),452 (+0),261 (+0),427 (+0),561 (+0),308 (+0)
2021-04-12 05:00:03.826676,108 (+2),440 (+0),453 (+1),261 (+0),428 (+1),563 (+2),308 (+0)
2021-04-12 06:00:03.768503,108 (+0),440 (+0),453 (+0),261 (+0),438 (+10),568 (+5),308 (+0)
2021-04-12 07:00:02.923878,108 (+0),440 (+0),453 (+0),261 (+0),438 (+0),570 (+2),309 (+1)
2021-04-12 08:00:03.093041,108 (+0),441 (+1),454 (+1),261 (+0),438 (+0),570 (+0),309 (+0)
2021-04-12 09:00:03.153539,108 (+0),442 (+1),455 (+1),261 (+0),440 (+2),572 (+2),311 (+2)
