ts,wired,nyt,guardian,popsci,healthday,newsmed,medpage
2021-04-17 05:00:03.293273,118 (+0),534 (+0),503 (+0),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-17 06:00:03.624982,119 (+1),534 (+0),503 (+0),271 (+0),567 (+0),821 (+0),388 (+0)
2021-04-17 07:00:03.712796,119 (+0),534 (+0),503 (+0),271 (+0),568 (+1),821 (+0),388 (+0)
2021-04-17 08:00:03.631184,119 (+0),534 (+0),503 (+0),271 (+0),568 (+0),821 (+0),389 (+1)
2021-04-17 09:00:03.254014,119 (+0),535 (+1),504 (+1),271 (+0),568 (+0),821 (+0),389 (+0)
2021-04-17 10:00:03.445671,119 (+0),535 (+0),506 (+2),271 (+0),568 (+0),821 (+0),390 (+1)
2021-04-17 11:00:03.803868,119 (+0),536 (+1),506 (+0),271 (+0),568 (+0),824 (+3),390 (+0)
2021-04-17 12:00:03.555866,119 (+0),536 (+0),506 (+0),271 (+0),568 (+0),824 (+0),391 (+1)
2021-04-17 13:00:03.163279,119 (+0),536 (+0),506 (+0),271 (+0),568 (+0),824 (+0),391 (+0)
2021-04-17 14:00:03.470020,119 (+0),536 (+0),506 (+0),271 (+0),568 (+0),824 (+0),391 (+0)
2021-04-17 15:00:03.495378,119 (+0),536 (+0),506 (+0),271 (+0),568 (+0),824 (+0),392 (+1)
2021-04-17 16:00:03.720610,119 (+0),536 (+0),506 (+0),271 (+0),568 (+0),824 (+0),392 (+0)
2021-04-17 17:00:02.844965,119 (+0),536 (+0),506 (+0),271 (+0),568 (+0),824 (+0),392 (+0)
2021-04-17 18:00:03.363256,119 (+0),536 (+0),506 (+0),271 (+0),568 (+0),824 (+0),393 (+1)
2021-04-17 19:00:03.362436,119 (+0),536 (+0),506 (+0),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-17 20:00:03.659151,119 (+0),536 (+0),506 (+0),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-17 21:00:03.027926,119 (+0),538 (+2),506 (+0),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-17 22:00:03.121333,119 (+0),539 (+1),506 (+0),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-17 23:00:03.360135,119 (+0),539 (+0),506 (+0),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-18 00:00:06.256811,119 (+0),539 (+0),507 (+1),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-18 01:00:03.565408,119 (+0),539 (+0),507 (+0),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-18 02:00:03.238602,119 (+0),540 (+1),508 (+1),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-18 03:00:03.792660,119 (+0),540 (+0),508 (+0),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-18 04:00:03.422200,119 (+0),540 (+0),508 (+0),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-18 05:00:03.031589,119 (+0),540 (+0),508 (+0),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-18 06:00:03.383167,119 (+0),540 (+0),508 (+0),271 (+0),568 (+0),824 (+0),393 (+0)
2021-04-18 07:00:03.621942,120 (+1),540 (+0),509 (+1),271 (+0),569 (+1),824 (+0),393 (+0)
2021-04-18 08:00:03.577608,120 (+0),540 (+0),509 (+0),271 (+0),569 (+0),824 (+0),394 (+1)
2021-04-18 09:00:03.412603,120 (+0),540 (+0),509 (+0),271 (+0),569 (+0),824 (+0),394 (+0)
2021-04-18 10:00:02.889845,120 (+0),540 (+0),510 (+1),271 (+0),569 (+0),824 (+0),395 (+1)
2021-04-18 11:00:03.464570,120 (+0),540 (+0),511 (+1),271 (+0),569 (+0),824 (+0),395 (+0)
2021-04-18 12:00:03.653866,120 (+0),540 (+0),511 (+0),271 (+0),569 (+0),824 (+0),396 (+1)
2021-04-18 13:00:02.994806,120 (+0),540 (+0),511 (+0),271 (+0),569 (+0),824 (+0),396 (+0)
2021-04-18 14:00:02.921543,120 (+0),540 (+0),511 (+0),271 (+0),569 (+0),824 (+0),397 (+1)
2021-04-18 15:00:03.468677,120 (+0),540 (+0),511 (+0),271 (+0),569 (+0),824 (+0),397 (+0)
2021-04-18 16:00:03.482462,120 (+0),540 (+0),511 (+0),271 (+0),569 (+0),824 (+0),398 (+1)
2021-04-18 17:00:03.434028,120 (+0),540 (+0),512 (+1),271 (+0),569 (+0),824 (+0),399 (+1)
2021-04-18 18:00:02.807704,120 (+0),540 (+0),512 (+0),271 (+0),569 (+0),824 (+0),399 (+0)
2021-04-18 19:00:03.079186,120 (+0),540 (+0),512 (+0),271 (+0),569 (+0),824 (+0),399 (+0)
2021-04-18 20:00:02.961628,120 (+0),540 (+0),513 (+1),271 (+0),569 (+0),827 (+3),399 (+0)
2021-04-18 21:00:03.202328,120 (+0),541 (+1),513 (+0),271 (+0),569 (+0),828 (+1),399 (+0)
2021-04-18 22:00:02.981638,120 (+0),542 (+1),514 (+1),271 (+0),569 (+0),836 (+8),399 (+0)
2021-04-18 23:00:02.965201,120 (+0),542 (+0),515 (+1),271 (+0),569 (+0),839 (+3),399 (+0)
2021-04-19 00:00:04.042796,120 (+0),542 (+0),518 (+3),271 (+0),569 (+0),840 (+1),399 (+0)
2021-04-19 01:00:03.703589,120 (+0),542 (+0),518 (+0),271 (+0),569 (+0),843 (+3),399 (+0)
2021-04-19 02:00:03.517236,120 (+0),542 (+0),519 (+1),271 (+0),569 (+0),843 (+0),399 (+0)
2021-04-19 03:00:03.608447,120 (+0),545 (+3),520 (+1),271 (+0),569 (+0),843 (+0),399 (+0)
2021-04-19 04:00:03.509375,120 (+0),546 (+1),522 (+2),271 (+0),569 (+0),844 (+1),399 (+0)
2021-04-19 05:00:02.972754,121 (+1),547 (+1),525 (+3),271 (+0),571 (+2),845 (+1),399 (+0)
2021-04-19 06:00:03.265942,122 (+1),548 (+1),527 (+2),271 (+0),582 (+11),845 (+0),399 (+0)
2021-04-19 07:00:03.449244,122 (+0),552 (+4),529 (+2),271 (+0),583 (+1),849 (+4),399 (+0)
2021-04-19 08:00:06.118438,122 (+0),553 (+1),531 (+2),271 (+0),584 (+1),850 (+1),400 (+1)
2021-04-19 09:00:03.653338,122 (+0),554 (+1),532 (+1),271 (+0),587 (+3),852 (+2),402 (+2)
2021-04-19 10:00:03.086562,122 (+0),555 (+1),534 (+2),271 (+0),587 (+0),854 (+2),403 (+1)
2021-04-19 11:00:02.912230,122 (+0),557 (+2),535 (+1),281 (+10),588 (+1),859 (+5),404 (+1)
2021-04-19 12:00:03.124498,122 (+0),558 (+1),535 (+0),281 (+0),588 (+0),864 (+5),405 (+1)
2021-04-19 13:00:03.865106,122 (+0),560 (+2),535 (+0),281 (+0),596 (+8),864 (+0),407 (+2)
2021-04-19 14:00:03.074134,122 (+0),561 (+1),535 (+0),281 (+0),596 (+0),864 (+0),408 (+1)
2021-04-19 15:00:03.157084,122 (+0),561 (+0),535 (+0),281 (+0),600 (+4),864 (+0),410 (+2)
2021-04-19 16:00:03.608327,122 (+0),563 (+2),536 (+1),281 (+0),600 (+0),864 (+0),412 (+2)
2021-04-19 17:00:03.371381,122 (+0),564 (+1),536 (+0),281 (+0),600 (+0),869 (+5),414 (+2)
2021-04-19 18:00:03.784340,122 (+0),564 (+0),536 (+0),281 (+0),600 (+0),878 (+9),414 (+0)
2021-04-19 19:00:03.430751,122 (+0),564 (+0),536 (+0),281 (+0),600 (+0),887 (+9),414 (+0)
2021-04-19 20:00:03.880663,122 (+0),564 (+0),537 (+1),281 (+0),600 (+0),893 (+6),414 (+0)
2021-04-19 21:00:03.654067,122 (+0),564 (+0),537 (+0),281 (+0),600 (+0),894 (+1),414 (+0)
2021-04-19 22:00:03.595706,122 (+0),564 (+0),538 (+1),281 (+0),600 (+0),904 (+10),414 (+0)
2021-04-19 23:00:03.139137,122 (+0),564 (+0),538 (+0),281 (+0),600 (+0),914 (+10),414 (+0)
2021-04-20 00:00:04.549647,122 (+0),564 (+0),539 (+1),281 (+0),600 (+0),914 (+0),414 (+0)
2021-04-20 01:00:03.557661,122 (+0),564 (+0),539 (+0),281 (+0),600 (+0),914 (+0),414 (+0)
2021-04-20 02:00:02.968063,122 (+0),564 (+0),540 (+1),281 (+0),600 (+0),914 (+0),414 (+0)
2021-04-20 03:00:03.577347,122 (+0),566 (+2),541 (+1),281 (+0),600 (+0),914 (+0),414 (+0)
2021-04-20 04:00:03.358272,122 (+0),567 (+1),542 (+1),281 (+0),600 (+0),915 (+1),414 (+0)
2021-04-20 05:00:03.114392,123 (+1),568 (+1),543 (+1),281 (+0),602 (+2),915 (+0),414 (+0)
2021-04-20 06:00:03.317498,123 (+0),568 (+0),544 (+1),281 (+0),614 (+12),920 (+5),414 (+0)
2021-04-20 07:00:03.464202,124 (+1),569 (+1),546 (+2),281 (+0),614 (+0),922 (+2),415 (+1)
2021-04-20 08:00:04.423743,124 (+0),570 (+1),547 (+1),281 (+0),617 (+3),924 (+2),416 (+1)
2021-04-20 09:00:03.073794,124 (+0),572 (+2),549 (+2),291 (+10),618 (+1),927 (+3),417 (+1)
2021-04-20 10:00:03.685437,124 (+0),572 (+0),551 (+2),292 (+1),618 (+0),927 (+0),418 (+1)
2021-04-20 11:00:03.419073,124 (+0),573 (+1),553 (+2),294 (+2),618 (+0),928 (+1),419 (+1)
2021-04-20 12:00:03.377561,124 (+0),574 (+1),553 (+0),294 (+0),626 (+8),929 (+1),420 (+1)
2021-04-20 13:00:03.943458,124 (+0),574 (+0),553 (+0),294 (+0),626 (+0),929 (+0),421 (+1)
2021-04-20 14:00:03.667195,124 (+0),575 (+1),554 (+1),294 (+0),626 (+0),929 (+0),422 (+1)
2021-04-20 15:00:03.563723,124 (+0),578 (+3),554 (+0),294 (+0),629 (+3),929 (+0),423 (+1)
2021-04-20 16:00:03.087252,124 (+0),580 (+2),554 (+0),294 (+0),629 (+0),929 (+0),425 (+2)
2021-04-20 17:00:03.479694,124 (+0),583 (+3),555 (+1),294 (+0),629 (+0),931 (+2),426 (+1)
2021-04-20 18:00:03.541819,124 (+0),584 (+1),555 (+0),294 (+0),629 (+0),940 (+9),427 (+1)
2021-04-20 19:00:03.159933,124 (+0),585 (+1),555 (+0),294 (+0),629 (+0),946 (+6),427 (+0)
2021-04-20 20:00:03.265924,124 (+0),585 (+0),555 (+0),294 (+0),629 (+0),954 (+8),427 (+0)
2021-04-20 21:00:03.760913,124 (+0),585 (+0),555 (+0),294 (+0),629 (+0),955 (+1),427 (+0)
2021-04-20 22:00:03.932330,124 (+0),585 (+0),556 (+1),294 (+0),629 (+0),962 (+7),427 (+0)
2021-04-20 23:00:02.860557,124 (+0),585 (+0),557 (+1),294 (+0),629 (+0),972 (+10),427 (+0)
2021-04-21 00:00:03.737174,124 (+0),585 (+0),557 (+0),294 (+0),629 (+0),974 (+2),427 (+0)
2021-04-21 01:00:03.677675,124 (+0),585 (+0),557 (+0),294 (+0),629 (+0),974 (+0),427 (+0)
2021-04-21 02:00:03.020973,124 (+0),585 (+0),557 (+0),294 (+0),629 (+0),974 (+0),427 (+0)
2021-04-21 03:00:02.899056,124 (+0),589 (+4),557 (+0),294 (+0),629 (+0),974 (+0),427 (+0)
2021-04-21 04:00:03.090235,124 (+0),589 (+0),557 (+0),294 (+0),629 (+0),978 (+4),427 (+0)
2021-04-21 05:00:03.694672,125 (+1),589 (+0),557 (+0),294 (+0),631 (+2),987 (+9),427 (+0)
2021-04-21 06:00:03.561069,125 (+0),589 (+0),557 (+0),294 (+0),640 (+9),991 (+4),427 (+0)
2021-04-21 07:00:05.206695,125 (+0),590 (+1),557 (+0),294 (+0),642 (+2),991 (+0),429 (+2)
2021-04-21 08:00:03.295621,125 (+0),590 (+0),557 (+0),294 (+0),642 (+0),993 (+2),429 (+0)
2021-04-21 09:00:03.065775,125 (+0),592 (+2),558 (+1),294 (+0),642 (+0),993 (+0),430 (+1)
2021-04-21 10:00:03.654925,125 (+0),594 (+2),558 (+0),294 (+0),645 (+3),1000 (+7),432 (+2)
2021-04-21 11:00:03.796162,125 (+0),595 (+1),558 (+0),294 (+0),645 (+0),1004 (+4),434 (+2)
2021-04-21 12:00:03.539666,125 (+0),596 (+1),558 (+0),294 (+0),653 (+8),1006 (+2),436 (+2)
2021-04-21 13:00:03.954530,125 (+0),597 (+1),558 (+0),294 (+0),653 (+0),1006 (+0),438 (+2)
2021-04-21 14:00:03.193394,125 (+0),597 (+0),558 (+0),294 (+0),653 (+0),1006 (+0),440 (+2)
2021-04-21 15:00:02.938039,125 (+0),599 (+2),558 (+0),294 (+0),653 (+0),1006 (+0),444 (+4)
2021-04-21 16:00:03.544565,125 (+0),599 (+0),558 (+0),294 (+0),655 (+2),1006 (+0),447 (+3)
2021-04-21 17:00:03.235728,125 (+0),599 (+0),559 (+1),294 (+0),655 (+0),1006 (+0),449 (+2)
2021-04-21 18:00:03.840706,125 (+0),599 (+0),559 (+0),294 (+0),655 (+0),1013 (+7),449 (+0)
2021-04-21 19:00:02.871077,125 (+0),599 (+0),559 (+0),294 (+0),655 (+0),1023 (+10),449 (+0)
2021-04-21 20:00:03.221406,125 (+0),600 (+1),559 (+0),294 (+0),655 (+0),1028 (+5),449 (+0)
2021-04-21 21:00:03.080637,125 (+0),600 (+0),559 (+0),294 (+0),655 (+0),1029 (+1),449 (+0)
2021-04-21 22:00:03.607899,125 (+0),601 (+1),561 (+2),294 (+0),655 (+0),1031 (+2),449 (+0)
2021-04-21 23:00:03.726535,125 (+0),601 (+0),564 (+3),304 (+10),655 (+0),1041 (+10),449 (+0)
2021-04-22 00:00:03.582672,125 (+0),601 (+0),567 (+3),304 (+0),655 (+0),1050 (+9),449 (+0)
2021-04-22 01:00:02.996714,125 (+0),601 (+0),568 (+1),304 (+0),655 (+0),1051 (+1),449 (+0)
2021-04-22 02:00:03.614380,125 (+0),602 (+1),569 (+1),304 (+0),655 (+0),1051 (+0),449 (+0)
2021-04-22 03:00:03.681799,125 (+0),603 (+1),570 (+1),304 (+0),655 (+0),1052 (+1),449 (+0)
2021-04-22 04:00:03.424828,125 (+0),603 (+0),572 (+2),304 (+0),655 (+0),1052 (+0),449 (+0)
2021-04-22 05:00:03.694658,126 (+1),603 (+0),573 (+1),304 (+0),657 (+2),1053 (+1),449 (+0)
2021-04-22 06:00:03.733291,126 (+0),604 (+1),574 (+1),304 (+0),666 (+9),1054 (+1),449 (+0)
2021-04-22 07:00:03.585373,126 (+0),604 (+0),575 (+1),304 (+0),666 (+0),1057 (+3),450 (+1)
2021-04-22 08:00:04.026919,126 (+0),607 (+3),576 (+1),304 (+0),666 (+0),1060 (+3),450 (+0)
2021-04-22 09:00:02.943474,126 (+0),608 (+1),577 (+1),304 (+0),668 (+2),1060 (+0),451 (+1)
2021-04-22 10:00:03.767081,126 (+0),611 (+3),579 (+2),304 (+0),671 (+3),1062 (+2),453 (+2)
2021-04-22 11:00:03.186873,126 (+0),613 (+2),582 (+3),304 (+0),672 (+1),1067 (+5),455 (+2)
2021-04-22 12:00:03.334808,126 (+0),614 (+1),583 (+1),304 (+0),672 (+0),1073 (+6),456 (+1)
2021-04-22 13:00:03.065346,126 (+0),617 (+3),584 (+1),304 (+0),680 (+8),1077 (+4),458 (+2)
2021-04-22 14:00:03.006048,126 (+0),619 (+2),585 (+1),304 (+0),682 (+2),1077 (+0),461 (+3)
2021-04-22 15:00:03.396091,126 (+0),622 (+3),587 (+2),304 (+0),684 (+2),1077 (+0),463 (+2)
2021-04-22 16:00:03.833503,127 (+1),623 (+1),590 (+3),304 (+0),684 (+0),1077 (+0),465 (+2)
2021-04-22 17:00:03.808554,127 (+0),625 (+2),594 (+4),304 (+0),684 (+0),1077 (+0),467 (+2)
2021-04-22 18:00:03.607833,128 (+1),627 (+2),595 (+1),304 (+0),684 (+0),1083 (+6),467 (+0)
2021-04-22 19:00:03.966457,128 (+0),628 (+1),596 (+1),304 (+0),684 (+0),1090 (+7),467 (+0)
2021-04-22 20:00:02.936912,128 (+0),632 (+4),598 (+2),304 (+0),684 (+0),1098 (+8),467 (+0)
2021-04-22 21:00:03.119503,128 (+0),632 (+0),599 (+1),304 (+0),684 (+0),1100 (+2),467 (+0)
2021-04-22 22:00:03.173378,128 (+0),633 (+1),601 (+2),304 (+0),684 (+0),1110 (+10),467 (+0)
2021-04-22 23:00:03.498323,128 (+0),633 (+0),602 (+1),304 (+0),684 (+0),1116 (+6),467 (+0)
2021-04-23 00:00:03.714986,128 (+0),634 (+1),604 (+2),304 (+0),684 (+0),1119 (+3),467 (+0)
2021-04-23 01:00:03.118700,128 (+0),636 (+2),605 (+1),304 (+0),684 (+0),1120 (+1),467 (+0)
2021-04-23 02:00:03.311213,128 (+0),637 (+1),608 (+3),304 (+0),684 (+0),1120 (+0),467 (+0)
2021-04-23 03:00:03.406104,128 (+0),640 (+3),611 (+3),304 (+0),684 (+0),1121 (+1),467 (+0)
2021-04-23 04:00:03.075006,129 (+1),643 (+3),613 (+2),304 (+0),684 (+0),1121 (+0),467 (+0)
2021-04-23 05:00:03.491103,130 (+1),644 (+1),614 (+1),304 (+0),686 (+2),1122 (+1),467 (+0)
2021-04-23 06:00:03.289495,130 (+0),645 (+1),617 (+3),304 (+0),695 (+9),1123 (+1),467 (+0)
2021-04-23 07:00:03.464229,130 (+0),646 (+1),619 (+2),304 (+0),695 (+0),1123 (+0),467 (+0)
2021-04-23 08:00:03.733172,130 (+0),647 (+1),620 (+1),304 (+0),695 (+0),1126 (+3),469 (+2)
2021-04-23 09:00:02.922314,130 (+0),649 (+2),621 (+1),304 (+0),699 (+4),1129 (+3),470 (+1)
2021-04-23 10:00:03.356336,130 (+0),650 (+1),623 (+2),304 (+0),701 (+2),1130 (+1),472 (+2)
2021-04-23 11:00:03.641588,130 (+0),652 (+2),623 (+0),304 (+0),701 (+0),1133 (+3),473 (+1)
2021-04-23 12:00:02.958257,131 (+1),653 (+1),623 (+0),304 (+0),709 (+8),1133 (+0),475 (+2)
2021-04-23 13:00:02.937799,131 (+0),654 (+1),624 (+1),304 (+0),709 (+0),1133 (+0),476 (+1)
2021-04-23 14:00:03.762298,131 (+0),657 (+3),625 (+1),304 (+0),712 (+3),1133 (+0),478 (+2)
2021-04-23 15:00:03.600326,131 (+0),660 (+3),626 (+1),304 (+0),713 (+1),1133 (+0),480 (+2)
2021-04-23 16:00:03.423353,131 (+0),661 (+1),626 (+0),304 (+0),715 (+2),1133 (+0),483 (+3)
2021-04-23 17:00:03.333892,131 (+0),661 (+0),626 (+0),304 (+0),715 (+0),1133 (+0),484 (+1)
2021-04-23 18:00:03.913690,131 (+0),661 (+0),627 (+1),304 (+0),715 (+0),1140 (+7),484 (+0)
2021-04-23 19:00:03.222064,131 (+0),662 (+1),628 (+1),304 (+0),715 (+0),1148 (+8),484 (+0)
2021-04-23 20:00:03.214219,131 (+0),662 (+0),629 (+1),304 (+0),715 (+0),1154 (+6),484 (+0)
2021-04-23 21:00:03.138848,131 (+0),663 (+1),629 (+0),304 (+0),715 (+0),1154 (+0),484 (+0)
2021-04-23 22:00:03.205211,131 (+0),664 (+1),630 (+1),304 (+0),715 (+0),1154 (+0),484 (+0)
2021-04-23 23:00:03.490109,131 (+0),664 (+0),631 (+1),304 (+0),715 (+0),1154 (+0),484 (+0)
2021-04-24 00:00:11.630835,131 (+0),664 (+0),632 (+1),304 (+0),715 (+0),1154 (+0),484 (+0)
2021-04-24 01:00:03.459119,131 (+0),664 (+0),632 (+0),304 (+0),715 (+0),1154 (+0),484 (+0)
2021-04-24 02:00:03.232312,131 (+0),664 (+0),635 (+3),304 (+0),715 (+0),1154 (+0),484 (+0)
2021-04-24 03:00:03.682437,131 (+0),665 (+1),635 (+0),304 (+0),715 (+0),1154 (+0),484 (+0)
2021-04-24 04:00:03.636025,131 (+0),665 (+0),636 (+1),304 (+0),715 (+0),1154 (+0),484 (+0)
2021-04-24 05:00:03.001009,131 (+0),665 (+0),637 (+1),304 (+0),715 (+0),1154 (+0),484 (+0)
2021-04-24 06:00:03.723438,132 (+1),665 (+0),637 (+0),304 (+0),715 (+0),1154 (+0),484 (+0)
2021-04-24 07:00:03.467224,132 (+0),667 (+2),638 (+1),304 (+0),716 (+1),1154 (+0),484 (+0)
2021-04-24 08:00:02.876461,132 (+0),668 (+1),638 (+0),304 (+0),716 (+0),1154 (+0),485 (+1)
2021-04-24 09:00:03.882800,132 (+0),669 (+1),639 (+1),304 (+0),716 (+0),1154 (+0),485 (+0)
2021-04-24 10:00:03.696240,132 (+0),669 (+0),641 (+2),304 (+0),716 (+0),1154 (+0),486 (+1)
2021-04-24 11:00:03.077472,132 (+0),672 (+3),641 (+0),304 (+0),716 (+0),1154 (+0),486 (+0)
2021-04-24 12:00:03.242660,132 (+0),673 (+1),641 (+0),304 (+0),716 (+0),1154 (+0),487 (+1)
2021-04-24 13:00:03.160527,132 (+0),674 (+1),641 (+0),304 (+0),716 (+0),1154 (+0),487 (+0)
2021-04-24 14:00:03.127040,132 (+0),675 (+1),642 (+1),304 (+0),716 (+0),1154 (+0),487 (+0)
2021-04-24 15:00:03.193403,132 (+0),676 (+1),642 (+0),304 (+0),716 (+0),1154 (+0),488 (+1)
2021-04-24 16:00:03.781315,132 (+0),677 (+1),643 (+1),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-24 17:00:03.672523,132 (+0),677 (+0),643 (+0),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-24 18:00:03.329670,132 (+0),678 (+1),643 (+0),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-24 19:00:03.334229,132 (+0),678 (+0),643 (+0),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-24 20:00:03.011025,132 (+0),679 (+1),643 (+0),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-24 21:00:03.507031,132 (+0),679 (+0),643 (+0),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-24 22:00:03.431316,132 (+0),681 (+2),643 (+0),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-24 23:00:03.513728,132 (+0),681 (+0),644 (+1),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-25 00:00:03.884304,132 (+0),681 (+0),645 (+1),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-25 01:00:03.515245,132 (+0),681 (+0),645 (+0),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-25 02:00:03.972466,132 (+0),681 (+0),646 (+1),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-25 03:00:03.232226,132 (+0),682 (+1),648 (+2),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-25 04:00:03.502791,132 (+0),682 (+0),650 (+2),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-25 05:00:03.186032,132 (+0),682 (+0),650 (+0),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-25 06:00:02.941841,133 (+1),683 (+1),650 (+0),304 (+0),716 (+0),1154 (+0),488 (+0)
2021-04-25 07:00:03.109579,133 (+0),683 (+0),651 (+1),304 (+0),717 (+1),1154 (+0),488 (+0)
2021-04-25 08:00:03.499717,133 (+0),684 (+1),652 (+1),304 (+0),717 (+0),1154 (+0),489 (+1)
2021-04-25 09:00:03.467663,133 (+0),684 (+0),652 (+0),304 (+0),717 (+0),1154 (+0),489 (+0)
2021-04-25 10:00:03.414360,133 (+0),685 (+1),653 (+1),304 (+0),717 (+0),1154 (+0),490 (+1)
2021-04-25 11:00:03.629208,133 (+0),686 (+1),653 (+0),304 (+0),717 (+0),1154 (+0),490 (+0)
2021-04-25 12:00:03.646584,133 (+0),689 (+3),653 (+0),304 (+0),717 (+0),1154 (+0),491 (+1)
2021-04-25 13:00:02.946786,133 (+0),689 (+0),653 (+0),304 (+0),717 (+0),1154 (+0),491 (+0)
2021-04-25 14:00:03.585764,133 (+0),689 (+0),653 (+0),304 (+0),717 (+0),1154 (+0),492 (+1)
2021-04-25 15:00:03.503001,133 (+0),689 (+0),653 (+0),304 (+0),717 (+0),1154 (+0),493 (+1)
2021-04-25 16:00:03.723322,133 (+0),690 (+1),653 (+0),304 (+0),717 (+0),1154 (+0),493 (+0)
2021-04-25 17:00:03.168669,133 (+0),690 (+0),655 (+2),304 (+0),717 (+0),1154 (+0),493 (+0)
2021-04-25 18:00:03.600104,133 (+0),691 (+1),655 (+0),304 (+0),717 (+0),1154 (+0),493 (+0)
2021-04-25 19:00:03.685845,133 (+0),691 (+0),655 (+0),304 (+0),717 (+0),1156 (+2),493 (+0)
2021-04-25 20:00:03.306855,133 (+0),691 (+0),655 (+0),304 (+0),717 (+0),1158 (+2),493 (+0)
2021-04-25 21:00:03.163046,133 (+0),691 (+0),655 (+0),304 (+0),717 (+0),1160 (+2),493 (+0)
2021-04-25 22:00:03.216059,133 (+0),692 (+1),655 (+0),304 (+0),717 (+0),1169 (+9),493 (+0)
2021-04-25 23:00:03.611551,133 (+0),692 (+0),657 (+2),304 (+0),717 (+0),1174 (+5),493 (+0)
2021-04-26 00:00:09.510507,133 (+0),692 (+0),657 (+0),304 (+0),717 (+0),1174 (+0),493 (+0)
2021-04-26 01:00:02.837021,133 (+0),692 (+0),658 (+1),304 (+0),717 (+0),1175 (+1),494 (+1)
2021-04-26 02:00:03.133226,133 (+0),692 (+0),659 (+1),304 (+0),717 (+0),1175 (+0),494 (+0)
2021-04-26 03:00:03.149369,133 (+0),693 (+1),659 (+0),304 (+0),717 (+0),1176 (+1),494 (+0)
2021-04-26 04:00:03.055138,133 (+0),693 (+0),659 (+0),304 (+0),717 (+0),1177 (+1),494 (+0)
2021-04-26 05:00:03.020761,134 (+1),693 (+0),659 (+0),304 (+0),719 (+2),1177 (+0),494 (+0)
2021-04-26 06:00:03.004346,135 (+1),693 (+0),659 (+0),304 (+0),730 (+11),1182 (+5),494 (+0)
2021-04-26 07:00:02.902229,135 (+0),694 (+1),660 (+1),304 (+0),730 (+0),1183 (+1),495 (+1)
2021-04-26 08:00:03.008883,135 (+0),694 (+0),661 (+1),304 (+0),730 (+0),1184 (+1),496 (+1)
2021-04-26 09:00:03.140226,135 (+0),695 (+1),661 (+0),304 (+0),731 (+1),1184 (+0),498 (+2)
2021-04-26 10:00:03.444350,135 (+0),695 (+0),661 (+0),304 (+0),732 (+1),1187 (+3),499 (+1)
2021-04-26 11:00:03.283783,135 (+0),695 (+0),661 (+0),304 (+0),732 (+0),1191 (+4),500 (+1)
2021-04-26 12:00:03.247453,135 (+0),695 (+0),661 (+0),304 (+0),740 (+8),1194 (+3),502 (+2)
2021-04-26 13:00:03.291697,135 (+0),696 (+1),661 (+0),304 (+0),740 (+0),1196 (+2),503 (+1)
2021-04-26 14:00:02.986298,135 (+0),696 (+0),661 (+0),304 (+0),740 (+0),1196 (+0),505 (+2)
2021-04-26 15:00:03.078812,135 (+0),698 (+2),661 (+0),304 (+0),745 (+5),1196 (+0),507 (+2)
2021-04-26 16:00:03.063115,135 (+0),699 (+1),661 (+0),304 (+0),745 (+0),1196 (+0),509 (+2)
2021-04-26 17:00:03.338525,135 (+0),700 (+1),661 (+0),304 (+0),745 (+0),1200 (+4),511 (+2)
2021-04-26 18:00:03.505420,135 (+0),700 (+0),661 (+0),304 (+0),745 (+0),1206 (+6),511 (+0)
2021-04-26 19:00:03.433381,135 (+0),701 (+1),661 (+0),304 (+0),745 (+0),1215 (+9),511 (+0)
2021-04-26 20:00:03.184792,135 (+0),702 (+1),662 (+1),304 (+0),745 (+0),1221 (+6),511 (+0)
2021-04-26 21:00:03.253904,135 (+0),702 (+0),662 (+0),304 (+0),745 (+0),1221 (+0),511 (+0)
2021-04-26 22:00:03.621680,135 (+0),702 (+0),664 (+2),304 (+0),745 (+0),1229 (+8),511 (+0)
