,id,conversation_id,created_at,date,timezone,place,tweet,language,hashtags,cashtags,user_id,user_id_str,username,name,day,hour,link,urls,photos,video,thumbnail,retweet,nlikes,nreplies,nretweets,quote_url,search,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1388636908184645634,1388636908184645634,1619911813000.0,2021-05-01 16:30:13,-0700,,How to find free Wi-Fi when you really need it  https://t.co/WeXtwWMbyU  https://t.co/8xzkVu5bjH,en,[],[],19722699,19722699,PopSci,Popular Science,6,16,https://twitter.com/PopSci/status/1388636908184645634,['https://www.popsci.com/find-free-wifi-hotspots/?taid=608de484bde97b0001bad2ba&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter'],['https://pbs.twimg.com/media/E0Vt6MGXEAI1zaF.jpg'],1,https://pbs.twimg.com/media/E0Vt6MGXEAI1zaF.jpg,False,12,0,2,,None,,,,,,,[],,,,
1,1388629359951585281,1388629359951585281,1619910013000.0,2021-05-01 16:00:13,-0700,,On the latest episode of the Ask Us Anything podcast: What happens in your brain when you daydream?  https://t.co/zfV3NsmotD  https://t.co/YL5EnFpFKC,en,[],[],19722699,19722699,PopSci,Popular Science,6,16,https://twitter.com/PopSci/status/1388629359951585281,['https://www.popsci.com/story/science/ask-us-anything-what-happens-in-your-brain-when-you-daydream/?taid=608ac5e5535ca20001329b22&utm_campaign=trueanthem_manual&utm_medium=social&utm_source=twitter'],['https://pbs.twimg.com/media/E0VnCtKWEAE2ZlM.jpg'],1,https://pbs.twimg.com/media/E0VnCtKWEAE2ZlM.jpg,False,24,0,7,,None,,,,,,,[],,,,
2,1388621808518193158,1388621808518193158,1619908213000.0,2021-05-01 15:30:13,-0700,,"If that asteroid had been 30 seconds late, dinosaurs might rule the world and humans probably wouldn’t exist  https://t.co/btAkhM0yHB  https://t.co/wKyFtt90DK",en,[],[],19722699,19722699,PopSci,Popular Science,6,15,https://twitter.com/PopSci/status/1388621808518193158,['https://www.popsci.com/dinosaur-asteroid-late/?taid=608dd674bde97b0001bad278&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter'],['https://pbs.twimg.com/media/E0VgLMXWYAEsWsb.jpg'],1,https://pbs.twimg.com/media/E0VgLMXWYAEsWsb.jpg,False,69,8,21,,None,,,,,,,[],,,,
3,1388614246737514497,1388614246737514497,1619906410000.0,2021-05-01 15:00:10,-0700,,Baboon poop shows how chronic stress shortens lives  https://t.co/qpDvCuU140  https://t.co/5yiqTgBTfQ,en,[],[],19722699,19722699,PopSci,Popular Science,6,15,https://twitter.com/PopSci/status/1388614246737514497,['https://www.popsci.com/story/science/baboon-stress-poop/?taid=608dcf69bde97b0001bad23e&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter'],['https://pbs.twimg.com/media/E0VZTEIXoAUBkA3.jpg'],1,https://pbs.twimg.com/media/E0VZTEIXoAUBkA3.jpg,False,22,0,6,,None,,,,,,,[],,,,
4,1388606699049832450,1388606699049832450,1619904610000.0,2021-05-01 14:30:10,-0700,,A beginner’s guide to buying a motorcycle  https://t.co/mwrReVF28f  https://t.co/fZN5u27tdu,en,[],[],19722699,19722699,PopSci,Popular Science,6,14,https://twitter.com/PopSci/status/1388606699049832450,['https://www.popsci.com/motorcycle-beginner-buying-guide/?taid=608dc861bde97b0001bad225&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter'],['https://pbs.twimg.com/media/E0VSbujWYAUVx19.jpg'],1,https://pbs.twimg.com/media/E0VSbujWYAUVx19.jpg,False,22,2,5,,None,,,,,,,[],,,,
5,1388599146399993857,1388599146399993857,1619902810000.0,2021-05-01 14:00:10,-0700,,38 advanced Mac keyboard shortcuts to supercharge your workflow  https://t.co/FPOYPhhaMH  https://t.co/76OvMEq9JX,en,[],[],19722699,19722699,PopSci,Popular Science,6,14,https://twitter.com/PopSci/status/1388599146399993857,['https://www.popsci.com/story/diy/advanced-mac-keyboard-shortcuts/?taid=608dc1581aea71000197bebb&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter'],['https://pbs.twimg.com/media/E0VLkDuWUAEOrk_.jpg'],1,https://pbs.twimg.com/media/E0VLkDuWUAEOrk_.jpg,False,11,0,2,,None,,,,,,,[],,,,
6,1388591600603910157,1388591600603910157,1619901011000.0,2021-05-01 13:30:11,-0700,,"Swimming pools are full of poop, but they probably won’t make you sick  https://t.co/q8MWs6eaxg  https://t.co/BB6wnPplgD",en,[],[],19722699,19722699,PopSci,Popular Science,6,13,https://twitter.com/PopSci/status/1388591600603910157,['https://www.popsci.com/swimming-pools-are-gross/?taid=608dba51bde97b0001bad1ed&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter'],['https://pbs.twimg.com/media/E0VEsxEXIAUVSiq.jpg'],1,https://pbs.twimg.com/media/E0VEsxEXIAUVSiq.jpg,False,11,1,6,,None,,,,,,,[],,,,
7,1388584040010338307,1388584040010338307,1619899208000.0,2021-05-01 13:00:08,-0700,,How to secure your Google account  https://t.co/7aGTLnExcj  https://t.co/4Rxk76Q6cY,en,[],[],19722699,19722699,PopSci,Popular Science,6,13,https://twitter.com/PopSci/status/1388584040010338307,['https://www.popsci.com/secure-your-google-account/?taid=608db34712d1d500012379f3&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter'],['https://pbs.twimg.com/media/E0U90zbXMAUarhn.jpg'],1,https://pbs.twimg.com/media/E0U90zbXMAUarhn.jpg,False,4,1,4,,None,,,,,,,[],,,,
8,1388576493060726789,1388576493060726789,1619897409000.0,2021-05-01 12:30:09,-0700,,"These animals will self-amputate arms, legs, and even sex organs to survive  https://t.co/hQrUbLrzsA  https://t.co/yFNaXo4Kzz",en,[],[],19722699,19722699,PopSci,Popular Science,6,12,https://twitter.com/PopSci/status/1388576493060726789,['https://www.popsci.com/animal-self-amputation/?taid=608dac40bde97b0001bad1ad&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter'],['https://pbs.twimg.com/media/E0U29iIXoAA69d5.jpg'],1,https://pbs.twimg.com/media/E0U29iIXoAA69d5.jpg,False,23,1,8,,None,,,,,,,[],,,,
9,1388568941933600771,1388568941933600771,1619895608000.0,2021-05-01 12:00:08,-0700,,The real story behind the Biden burger-ban rumor  https://t.co/PsLtDFAS1l  https://t.co/08xOKujhwf,en,[],[],19722699,19722699,PopSci,Popular Science,6,12,https://twitter.com/PopSci/status/1388568941933600771,['https://www.popsci.com/story/environment/biden-burger-climate-plan/?taid=608da5371aea71000197be53&utm_campaign=trueanthem_trending-content&utm_medium=social&utm_source=twitter'],['https://pbs.twimg.com/media/E0UwF9qX0AY8Wqs.jpg'],1,https://pbs.twimg.com/media/E0UwF9qX0AY8Wqs.jpg,False,9,0,0,,None,,,,,,,[],,,,
